"","District.ID","X","State.ID","Year.x","Annual.Rainfall","Ten.Year.MA.AR","Year.y","Ten.Year.MA.AR.75","Drought"
"72","Bhojpur",21035,"Bihar",1923,5241.71,5269.148,1923,3951.861,0
"73","Bhopal",40415,"Madhya Pradesh",1923,4658.97,4353.023,1923,3264.76725,0
"74","Bid",47351,"Maharashtra",1923,3428.7,3419.249,1923,2564.43675,0
"75","Bidar",51023,"Karnataka",1923,3995.82,4179.485,1923,3134.61375,0
"76","Bijapur",50819,"Karnataka",1923,3317.18,4006.458,1923,3004.8435,0
"77","Bijnor",11243,"Uttar Pradesh",1923,3713.73,3622.916,1923,2717.187,0
"78","Bikaner",7979,"Rajasthan",1923,1888.06,1821.174,1923,1365.8805,0
"79","Bilaspur",36233,"Chhattisgarh",1923,3673.25,3425.837,1923,2569.37775,0
"80","Birbhum",29603,"West Bengal",1923,6386.96,6861.116,1923,5145.837,0
"81","Bishnupur",24503,"Manipur",1923,9556.12,10207.344,1923,7655.508,0
"82","Bokaro",31949,"Jharkhand",1923,6872.81,7223.018,1923,5417.2635,0
"83","Bolangir",34907,"Orissa",1923,5512.85,6311.082,1923,4733.3115,0
"84","Boudh",34703,"Orissa",1923,5882.01,6395.457,1923,4796.59275,0
"85","Bulandshahr",12059,"Uttar Pradesh",1923,3450.2,3457.727,1923,2593.29525,0
"86","Buldana",45005,"Maharashtra",1923,4165.69,4171.817,1923,3128.86275,0
"87","Bundi",10019,"Rajasthan",1923,3598.58,3485.099,1923,2613.82425,0
"88","Buxar",21137,"Bihar",1923,5248.63,5188.788,1923,3891.591,0
"89","Cachar",28583,"Assam",1923,10557.83,11196.289,1923,8397.21675,0
"90","Chamba",1451,"Himachal Pradesh",1923,5797.38,5463.809,1923,4097.85675,0
"91","Chamoli",4511,"Uttaranchal",1923,6975.59,7108.574,1923,5331.4305,0
"92","Champawat",5327,"Uttaranchal",1923,4269.09,4530.723,1923,3398.04225,0
"93","Champhai",25421,"Mizoram",1923,9635.85,10203.231,1923,7652.42325,0
"94","Chamrajnagar",53267,"Karnataka",1923,7334.23,7067.542,1923,5300.6565,0
"95","Chandauli",17669,"Uttar Pradesh",1923,5884.39,5703.743,1923,4277.80725,0
"96","Chandel",25013,"Manipur",1923,9642.01,10320.55,1923,7740.4125,0
"97","Chandigarh",4307,"Chandigarh",1923,3130,2874.3,1923,2155.725,0
"98","Chandrapur",45923,"Maharashtra",1923,4699.92,5133.775,1923,3850.33125,0
"99","Changlang",23279,"Arunachal Pradesh",1923,10403.43,11185.688,1923,8389.266,0
"100","Chatra",30929,"Jharkhand",1923,7003.97,6953.124,1923,5214.843,0
"101","Chennai",55205,"Tamil Nadu",1923,4422.46,4763.276,1923,3572.457,0
"102","Chhatarpur",38069,"Madhya Pradesh",1923,5390.59,5015.197,1923,3761.39775,0
"103","Chhindwara",41537,"Madhya Pradesh",1923,5442.34,5524.504,1923,4143.378,0
"104","Chikmagalur",52247,"Karnataka",1923,9243.2,9459.262,1923,7094.4465,0
"105","Chitradurga",51839,"Karnataka",1923,5371.4,5769.951,1923,4327.46325,0
"106","Chitrakoot",15119,"Uttar Pradesh",1923,5745.6,5592.546,1923,4194.4095,0
"107","Chittaurgarh",10631,"Rajasthan",1923,3600.55,3596.118,1923,2697.0885,0
"108","Chittoor",50513,"Andhra Pradesh",1923,4341.52,4685.002,1923,3513.7515,0
"109","Churachandpur",24401,"Manipur",1923,9449.96,10064.254,1923,7548.1905,0
"110","Churu",8081,"Rajasthan",1923,2282.89,2210.299,1923,1657.72425,0
"111","Coimbatore",56225,"Tamil Nadu",1923,9903.21,9303.955,1923,6977.96625,0
"112","Cuddalore",56837,"Tamil Nadu",1923,4123.16,4420.338,1923,3315.2535,0
"113","Cuddapah",50207,"Andhra Pradesh",1923,3861.85,4254.242,1923,3190.6815,0
"114","Cuttack",33683,"Orissa",1923,5890.41,6130.583,1923,4597.93725,0
"115","Dadra and Nagar Haveli",44597,"Dadra and Nagar Haveli",1923,4327.06,5366.907,1923,4025.18025,0
"116","Dahod",43577,"Gujarat",1923,3247.31,3687.58,1923,2765.685,0
"117","Dakshin Dinajpur",29297,"West Bengal",1923,5946.67,6551.477,1923,4913.60775,0
"118","Dakshin Kannad",52961,"Karnataka",1923,2754.17,2753.745,1923,2065.30875,0
"119","Daman",44495,"Daman and Diu",1923,0,0,1923,0,0
"120","Damoh",38375,"Madhya Pradesh",1923,5686.05,5325.761,1923,3994.32075,0
"121","Dantewada",37151,"Chhattisgarh",1923,5476.07,6130.24,1923,4597.68,0
"122","Darbhanga",19403,"Bihar",1923,4668.35,5049.334,1923,3787.0005,0
"123","Darjiling",28889,"West Bengal",1923,6872.65,7397.295,1923,5547.97125,0
"124","Darrang",27359,"Assam",1923,8249.1,8805.711,1923,6604.28325,0
"125","Datia",37661,"Madhya Pradesh",1923,4526.87,4281.86,1923,3211.395,0
"126","Dausa",8795,"Rajasthan",1923,3255.07,3123.324,1923,2342.493,0
"127","Davanagere",51941,"Karnataka",1923,7620.03,7858.03,1923,5893.5225,0
"128","Dehra Dun",4817,"Uttaranchal",1923,4159.1,3993.565,1923,2995.17375,0
